============================================================
  Generated by:           Encounter(R) RTL Compiler v11.10-s016_1
  Generated on:           Oct 19 2016  08:54:34 am
  Module:                 RouterCC
  Technology libraries:   CORE65GPSVT 
                          CLOCK65GPSVT 
                          CORE65GPSVT_1 
                          CLOCK65GPSVT_1 
                          CORE65GPSVT_2 
                          CLOCK65GPSVT_2 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z_1 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z_2 
                          physical_cells 
  Operating conditions:   nom_1.00V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                           
        Gate          Instances    Area        Library     
HS65_GS_CNBFX31               1      5.720    CLOCK65GPSVT 
HS65_GS_CNBFX82               1     11.960    CLOCK65GPSVT 
HS65_GS_CNIVX10               3      6.240    CLOCK65GPSVT 
HS65_GS_CNIVX103              1     11.440    CLOCK65GPSVT 
HS65_GS_CNIVX21              13     40.560    CLOCK65GPSVT 
HS65_GS_CNIVX24               1      3.640    CLOCK65GPSVT 
HS65_GS_CNIVX27               8     29.120    CLOCK65GPSVT 
HS65_GS_CNIVX31               5     20.800    CLOCK65GPSVT 
HS65_GS_CNIVX34               3     12.480    CLOCK65GPSVT 
HS65_GS_CNIVX38               2     10.400    CLOCK65GPSVT 
HS65_GS_CNIVX41              10     52.000    CLOCK65GPSVT 
HS65_GS_CNIVX45               2     11.440    CLOCK65GPSVT 
HS65_GS_CNIVX48               5     28.600    CLOCK65GPSVT 
HS65_GS_CNIVX55               9     60.840    CLOCK65GPSVT 
HS65_GS_CNIVX62               6     43.680    CLOCK65GPSVT 
HS65_GS_CNIVX82              13    121.680    CLOCK65GPSVT 
HS65_GS_CNNAND2AX18           7     40.040    CLOCK65GPSVT 
HS65_GS_CNNAND2X18           51    265.200    CLOCK65GPSVT 
HS65_GS_CNNAND2X24           62    386.880    CLOCK65GPSVT 
HS65_GS_CNNOR2AX15          114    711.360    CLOCK65GPSVT 
HS65_GS_CNNOR2X15            31    193.440    CLOCK65GPSVT 
HS65_GS_CNNOR2X24            76    671.840    CLOCK65GPSVT 
HS65_GS_CNSDFPRQTX15          5     75.400    CLOCK65GPSVT 
HS65_GS_DFPHQNX4            197   2151.240    CORE65GPSVT  
HS65_GS_DFPHQNX9             11    120.120    CORE65GPSVT  
HS65_GS_DFPHQX9            2988  31075.200    CORE65GPSVT  
HS65_GS_DFPQNX9               5     41.600    CORE65GPSVT  
HS65_GS_DFPQX9               41    319.800    CORE65GPSVT  
HS65_GS_DFPRQNX4              1     10.400    CORE65GPSVT  
HS65_GS_DFPRQX4               5     52.000    CORE65GPSVT  
HS65_GS_DFPRQX9             229   2381.600    CORE65GPSVT  
HS65_GS_DFPSQX9               5     54.600    CORE65GPSVT  
HS65_GS_HA1X4                15     78.000    CORE65GPSVT  
HS65_GS_ITHX30                2     21.840    CORE65GPSVT  
HS65_GS_IVX106                3     26.520    CORE65GPSVT  
HS65_GS_IVX13                31     64.480    CORE65GPSVT  
HS65_GS_IVX18                64    133.120    CORE65GPSVT  
HS65_GS_IVX2                  6      9.360    CORE65GPSVT  
HS65_GS_IVX22                 5     15.600    CORE65GPSVT  
HS65_GS_IVX27                62    193.440    CORE65GPSVT  
HS65_GS_IVX31                15     54.600    CORE65GPSVT  
HS65_GS_IVX35                41    149.240    CORE65GPSVT  
HS65_GS_IVX44                24     99.840    CORE65GPSVT  
HS65_GS_IVX53                16     83.200    CORE65GPSVT  
HS65_GS_IVX62                13     74.360    CORE65GPSVT  
HS65_GS_IVX7                  1      1.560    CORE65GPSVT  
HS65_GS_IVX71                15     93.600    CORE65GPSVT  
HS65_GS_IVX9                507    790.920    CORE65GPSVT  
HS65_GS_LDLQNX4               1      5.720    CORE65GPSVT  
HS65_GS_LDLQX9                1      6.760    CORE65GPSVT  
HS65_GS_MUX21I1X24            3     37.440    CORE65GPSVT  
HS65_GS_MUX21I1X30            2     31.200    CORE65GPSVT  
HS65_GS_MUX21I1X36            1     17.680    CORE65GPSVT  
HS65_GS_MUX21I1X42            5    106.600    CORE65GPSVT  
HS65_GS_MUX21I1X6            11     45.760    CORE65GPSVT  
HS65_GS_MUX21X18             22    137.280    CORE65GPSVT  
HS65_GS_MUX21X27              5     46.800    CORE65GPSVT  
HS65_GS_MUX21X35              9     93.600    CORE65GPSVT  
HS65_GS_MUX21X4              20     83.200    CORE65GPSVT  
HS65_GS_MUX21X44              1     14.560    CORE65GPSVT  
HS65_GS_MUX21X9               5     23.400    CORE65GPSVT  
HS65_GS_MX41X7                5     39.000    CORE65GPSVT  
HS65_GS_NAND2AX14            55    228.800    CORE65GPSVT  
HS65_GS_NAND2AX21             9     51.480    CORE65GPSVT  
HS65_GS_NAND2AX29             8     54.080    CORE65GPSVT  
HS65_GS_NAND2AX7            207    645.840    CORE65GPSVT  
HS65_GS_NAND2X11             62    225.680    CORE65GPSVT  
HS65_GS_NAND2X14            494   1798.160    CORE65GPSVT  
HS65_GS_NAND2X2              12     24.960    CORE65GPSVT  
